freq,Z_re,Z_im,temperature,pO2
1e+06,273.579,895.993,450,0.0001
661474,346.86,1296.21,450,0.0001
437548,458.305,1875.6,450,0.0001
289427,629.491,2708.73,450,0.0001
191448,897.971,3902.91,450,0.0001
126638,1336.54,5636.97,450,0.0001
83767.8,2048.52,8050.29,450,0.0001
55410.2,3279.31,11523.3,450,0.0001
36652.4,5373.75,16206.7,450,0.0001
24244.6,8976.29,22343.2,450,0.0001
16037.2,15049.3,29855.1,450,0.0001
10608.2,24642,37880.7,450,0.0001
7017.04,38209.8,44692.7,450,0.0001
4641.59,53847.2,47722.2,450,0.0001
3070.29,69210.1,47227.6,450,0.0001
2030.92,81413.1,44709,450,0.0001
1343.4,90800,43344.3,450,0.0001
888.624,97713.2,44865.7,450,0.0001
587.802,104576,51012.8,450,0.0001
388.816,112439,62407,450,0.0001
257.191,124129,80228.2,450,0.0001
170.125,141982,104553,450,0.0001
112.534,169814,134369,450,0.0001
74.438,212674,166653,450,0.0001
49.2388,271767,193268,450,0.0001
32.5702,344266,205635,450,0.0001
21.5443,415678,196464,450,0.0001
14.251,477986,171441,450,0.0001
9.42668,525825,139218,450,0.0001
6.23551,555888,106717,450,0.0001
4.12463,573806,78961,450,0.0001
2.72833,588114,57581.3,450,0.0001
1.80472,594518,41213.6,450,0.0001
1.19378,599819,29345.8,450,0.0001
0.789652,603403,20789.3,450,0.0001
0.522335,602122,14587.5,450,0.0001
0.345511,603623,10272.8,450,0.0001
0.228546,605621,7235.14,450,0.0001
0.151178,605543,5075.79,450,0.0001
0.1,605418,3559.44,450,0.0001
