freq,Z_re,Z_im,temperature
1e+06,269.805,844.245,550
689343,353.148,1181.86,550
475193,488.061,1638.45,550
327571,716.63,2262.95,550
225809,1103.14,3086.83,550
155660,1759.71,4144.66,550
107303,2815.03,5354.94,550
73968.3,4433.86,6605.7,550
50989.5,6610.7,7559.05,550
35149.3,9161.27,7967.2,550
24229.9,11591.3,7698.67,550
16702.7,13505,7000.61,550
11513.9,15025.5,6358.17,550
7937.01,15961.3,5919.9,550
5471.32,16738.9,5957.69,550
3771.61,17507.9,6550.67,550
2599.93,18382.6,7750.73,550
1792.24,19459,9571.75,550
1235.47,21275,12178.6,550
851.662,24095.3,15484.3,550
587.087,28175.6,19098.3,550
404.704,34054.1,22533.8,550
278.98,41608.7,24851.2,550
192.313,49989.9,25186.2,550
132.569,57772.6,23319.7,550
91.3857,64329.2,20066.1,550
62.9961,68993.1,16236.9,550
43.4259,72039.4,12593.9,550
29.9353,73952.8,9507.77,550
20.6357,75000.1,7045.18,550
14.2251,75942,5189.9,550
9.80593,76465.7,3790.96,550
6.75965,76836.2,2758.11,550
4.65971,76762.8,1992.43,550
3.21214,77047.9,1444.7,550
2.21426,77353.3,1047.13,550
1.52639,77162.9,753.766,550
1.0522,77411.5,545.506,550
0.725329,77488.7,393.82,550
0.5,77258.3,283.138,550
