freq,Z_re,Z_im,temperature,pO2
1e+06,288.787,651.505,600,0.2
689343,385.821,893.173,600,0.2
475193,542.398,1204.58,600,0.2
327571,800.326,1600.76,600,0.2
225809,1203.46,2054.44,600,0.2
155660,1804.06,2522.33,600,0.2
107303,2602.86,2900.36,600,0.2
73968.3,3528.96,3096.73,600,0.2
50989.5,4422.15,3073.77,600,0.2
35149.3,5201.61,2943.86,600,0.2
24229.9,5790.83,2812.49,600,0.2
16702.7,6253.48,2809.13,600,0.2
11513.9,6672.73,3014.85,600,0.2
7937.01,7053.76,3445.58,600,0.2
5471.32,7599.22,4193.6,600,0.2
3771.61,8339.86,5248.52,600,0.2
2599.93,9401.84,6591.79,600,0.2
1792.24,11047.1,8209.4,600,0.2
1235.47,13433.3,9899.51,600,0.2
851.662,16545.7,11259.9,600,0.2
587.087,20290.9,11948.8,600,0.2
404.704,24120.4,11662.3,600,0.2
278.98,27620,10547.8,600,0.2
192.313,30343.4,8908.23,600,0.2
132.569,32331.1,7164.51,600,0.2
91.3857,33679.6,5564.81,600,0.2
62.9961,34426.4,4206.61,600,0.2
43.4259,35014.3,3146.58,600,0.2
29.9353,35461,2334.84,600,0.2
20.6357,35627.4,1714.24,600,0.2
14.2251,35761.7,1255.16,600,0.2
9.80593,35891.3,917.714,600,0.2
6.75965,36051.1,670.937,600,0.2
4.65971,36013.6,487.522,600,0.2
3.21214,35974.6,354.068,600,0.2
2.21426,36031.7,257.748,600,0.2
1.52639,36058.9,187.43,600,0.2
1.0522,36068,136.204,600,0.2
0.725329,36126.6,99.1014,600,0.2
0.5,36166.9,72.0626,600,0.2
