freq,Z_re,Z_im,temperature,pO2
1e+06,286.389,1000.29,400,1e-09
661474,363.977,1452.26,400,1e-09
437548,478.819,2108.76,400,1e-09
289427,645,3037.5,400,1e-09
191448,899.356,4398.88,400,1e-09
126638,1285.67,6355.29,400,1e-09
83767.8,1894.83,9215.74,400,1e-09
55410.2,2847.98,13255,400,1e-09
36652.4,4410.05,19061.1,400,1e-09
24244.6,6998.95,27188.2,400,1e-09
16037.2,11501.5,38771.1,400,1e-09
10608.2,19194.4,54163.4,400,1e-09
7017.04,32366.8,73859.6,400,1e-09
4641.59,53983.4,96648.7,400,1e-09
3070.29,86737.6,119078,400,1e-09
2030.92,129126,134347,400,1e-09
1343.4,175458,138993,400,1e-09
888.624,216623,134434,400,1e-09
587.802,247810,127920,400,1e-09
388.816,270892,127435,400,1e-09
257.191,289980,138156,400,1e-09
170.125,310159,163740,400,1e-09
112.534,335228,206395,400,1e-09
74.438,374542,270506,400,1e-09
49.2388,437089,357517,400,1e-09
32.5702,534801,463409,400,1e-09
21.5443,682784,575910,400,1e-09
14.251,886257,667783,400,1e-09
9.42668,1.13164e+06,707605,400,1e-09
6.23551,1.38246e+06,678514,400,1e-09
4.12463,1.5979e+06,592213,400,1e-09
2.72833,1.75984e+06,480062,400,1e-09
1.80472,1.86282e+06,367844,400,1e-09
1.19378,1.9375e+06,273984,400,1e-09
0.789652,1.97656e+06,198760,400,1e-09
0.522335,1.99552e+06,142034,400,1e-09
0.345511,2.01222e+06,101060,400,1e-09
0.228546,2.01973e+06,71425.4,400,1e-09
0.151178,2.023e+06,50302.6,400,1e-09
0.1,2.02757e+06,35414.1,400,1e-09
