freq,Z_re,Z_im,temperature,pO2
1e+06,359.809,500.319,550,1e-15
689343,495.579,626.013,550,1e-15
475193,686.716,743.382,550,1e-15
327571,918.534,821.977,550,1e-15
225809,1158.75,848.696,550,1e-15
155660,1380.44,843.361,550,1e-15
107303,1549.69,829.775,550,1e-15
73968.3,1677.24,848.958,550,1e-15
50989.5,1792.32,935.901,550,1e-15
35149.3,1887.84,1100.51,550,1e-15
24229.9,1991.2,1370.45,550,1e-15
16702.7,2134.91,1786.22,550,1e-15
11513.9,2318.21,2371.35,550,1e-15
7937.01,2577.82,3181.81,550,1e-15
5471.32,2985.92,4322.69,550,1e-15
3771.61,3583.77,5840.85,550,1e-15
2599.93,4482.37,7816.83,550,1e-15
1792.24,5931.71,10455.3,550,1e-15
1235.47,8152.13,13696.7,550,1e-15
851.662,11554.4,17505.4,550,1e-15
587.087,16537.8,21513.4,550,1e-15
404.704,23291,24978.1,550,1e-15
278.98,31622.8,27070.2,550,1e-15
192.313,40402.8,26930.9,550,1e-15
132.569,48631.8,24775.3,550,1e-15
91.3857,55338,21251.3,550,1e-15
62.9961,60095.6,17221.3,550,1e-15
43.4259,63454.3,13468.7,550,1e-15
29.9353,65782.6,10286.6,550,1e-15
20.6357,67194.9,7710.6,550,1e-15
14.2251,68151.6,5722.38,550,1e-15
9.80593,68507.5,4200.35,550,1e-15
6.75965,69068.4,3087.58,550,1e-15
4.65971,69254.4,2254.77,550,1e-15
3.21214,69424.8,1644.9,550,1e-15
2.21426,69413.5,1196.16,550,1e-15
1.52639,69587.7,871.797,550,1e-15
1.0522,69724.4,634.853,550,1e-15
0.725329,69736,461.375,550,1e-15
0.5,69841.3,335.698,550,1e-15
