freq,Z_re,Z_im,temperature,pO2
1e+06,282.658,966.052,400,1
689343,348.103,1343.44,400,1
475193,444.113,1879.04,400,1
327571,579.773,2614.41,400,1
225809,779.444,3647.12,400,1
155660,1076.24,5092.83,400,1
107303,1515.2,7069.2,400,1
73968.3,2195.68,9841.23,400,1
50989.5,3242.61,13587.8,400,1
35149.3,4914.45,18708.5,400,1
24229.9,7633.32,25621.9,400,1
16702.7,12106.1,34765.6,400,1
11513.9,19352.1,46193.3,400,1
7937.01,30830,59608.6,400,1
5471.32,48031.6,73674.7,400,1
3771.61,71040.4,85295.5,400,1
2599.93,98163.2,91982.3,400,1
1792.24,125075,92550.8,400,1
1235.47,148266,89455.7,400,1
851.662,166141,86484.1,400,1
587.087,179047,86992.1,400,1
404.704,191225,94649.6,400,1
278.98,202019,109959,400,1
192.313,215214,135444,400,1
132.569,234921,174208,400,1
91.3857,262143,226700,400,1
62.9961,304317,296261,400,1
43.4259,369034,382870,400,1
29.9353,465933,481883,400,1
20.6357,605625,582537,400,1
14.2251,794226,666935,400,1
9.80593,1.01323e+06,705230,400,1
6.75965,1.24545e+06,690802,400,1
4.65971,1.44606e+06,621361,400,1
3.21214,1.61239e+06,526242,400,1
2.21426,1.7262e+06,422144,400,1
1.52639,1.80278e+06,327267,400,1
1.0522,1.8535e+06,248162,400,1
0.725329,1.88086e+06,184898,400,1
0.5,1.90375e+06,136977,400,1
