freq,Z_re,Z_im,temperature
1e+06,229.01,787.312,450
689343,279.011,1112.1,450
475193,350.826,1557.9,450
327571,461.282,2188.55,450
225809,632.484,3071.24,450
155660,900.795,4286.79,450
107303,1345.25,6009.3,450
73968.3,2074.73,8340.85,450
50989.5,3302.83,11480.3,450
35149.3,5405.48,15657.8,450
24229.9,8887.43,20771.8,450
16702.7,14446.5,26525.8,450
11513.9,22747.6,32160.5,450
7937.01,33357.1,35869.4,450
5471.32,45189.9,36870.1,450
3771.61,55957.8,35027.1,450
2599.93,64420.5,31883.3,450
1792.24,70493.1,29145.4,450
1235.47,74750.9,27987.2,450
851.662,77972.9,29084.3,450
587.087,81197.2,32979.4,450
404.704,85135.7,40096.3,450
278.98,90933.9,51095.9,450
192.313,99032.2,66041.9,450
132.569,112534,85982.5,450
91.3857,132888,109581,450
62.9961,163917,135261,450
43.4259,207266,158130,450
29.9353,260679,171287,450
20.6357,316871,169550,450
14.2251,368652,154272,450
9.80593,409744,130471,450
6.75965,437810,104171,450
4.65971,458744,80602.8,450
3.21214,470806,60613.3,450
2.21426,476779,44746.3,450
1.52639,482561,32900.9,450
1.0522,486153,24022.9,450
0.725329,487033,17414.4,450
0.5,489248,12644,450
