case,noise,rep,engine,recovery_err,rmse_rel,converged,wall_s
1zarc,0.001,0,v1,0.000106,0.000531,True,0.007
1zarc,0.001,0,v2,0.000106,0.000531,True,0.001
1zarc,0.001,1,v1,0.0003,0.000528,True,0.005
1zarc,0.001,1,v2,0.0003,0.000528,True,0.001
1zarc,0.001,2,v1,0.000384,0.000567,True,0.005
1zarc,0.001,2,v2,0.000384,0.000567,True,0.001
1zarc,0.001,3,v1,0.00024,0.000545,True,0.006
1zarc,0.001,3,v2,0.00024,0.000545,True,0.001
1zarc,0.001,4,v1,0.000176,0.000533,True,0.005
1zarc,0.001,4,v2,0.000176,0.000533,True,0.001
1zarc,0.005,0,v1,0.000455,0.002781,True,0.006
1zarc,0.005,0,v2,0.000455,0.002781,True,0.001
1zarc,0.005,1,v1,0.000473,0.002757,True,0.005
1zarc,0.005,1,v2,0.000473,0.002757,True,0.001
1zarc,0.005,2,v1,0.000112,0.002812,True,0.005
1zarc,0.005,2,v2,0.000112,0.002812,True,0.001
1zarc,0.005,3,v1,0.001178,0.002758,True,0.005
1zarc,0.005,3,v2,0.001178,0.002758,True,0.001
1zarc,0.005,4,v1,0.000503,0.002833,True,0.005
1zarc,0.005,4,v2,0.000503,0.002833,True,0.001
1zarc,0.02,0,v1,0.004908,0.012558,True,0.005
1zarc,0.02,0,v2,0.004908,0.012558,True,0.001
1zarc,0.02,1,v1,0.006458,0.010665,True,0.005
1zarc,0.02,1,v2,0.006458,0.010665,True,0.001
1zarc,0.02,2,v1,0.005368,0.012702,True,0.005
1zarc,0.02,2,v2,0.005368,0.012702,True,0.001
1zarc,0.02,3,v1,0.003606,0.011389,True,0.006
1zarc,0.02,3,v2,0.003606,0.011389,True,0.001
1zarc,0.02,4,v1,0.001202,0.010676,True,0.006
1zarc,0.02,4,v2,0.001202,0.010676,True,0.001
2zarc,0.001,0,v1,0.000379,0.000532,True,0.013
2zarc,0.001,0,v2,0.000379,0.000532,True,0.001
2zarc,0.001,1,v1,0.000289,0.000546,True,0.016
2zarc,0.001,1,v2,0.000289,0.000546,True,0.002
2zarc,0.001,2,v1,0.000308,0.000606,True,0.013
2zarc,0.001,2,v2,0.000308,0.000606,True,0.001
2zarc,0.001,3,v1,0.000741,0.000592,True,0.016
2zarc,0.001,3,v2,0.000741,0.000592,True,0.001
2zarc,0.001,4,v1,0.00021,0.000635,True,0.013
2zarc,0.001,4,v2,0.000211,0.000635,True,0.001
2zarc,0.005,0,v1,0.00112,0.002682,True,0.015
2zarc,0.005,0,v2,0.00112,0.002682,True,0.002
2zarc,0.005,1,v1,0.001154,0.002394,True,0.015
2zarc,0.005,1,v2,0.001153,0.002394,True,0.001
2zarc,0.005,2,v1,0.001348,0.003066,True,0.014
2zarc,0.005,2,v2,0.00135,0.003066,True,0.001
2zarc,0.005,3,v1,0.00167,0.002642,True,0.016
2zarc,0.005,3,v2,0.00167,0.002642,True,0.001
2zarc,0.005,4,v1,0.001163,0.002636,True,0.016
2zarc,0.005,4,v2,0.001165,0.002636,True,0.001
2zarc,0.02,0,v1,0.010093,0.012,True,0.012
2zarc,0.02,0,v2,0.010078,0.012,True,0.001
2zarc,0.02,1,v1,0.007257,0.012135,True,0.018
2zarc,0.02,1,v2,0.007257,0.012135,True,0.001
2zarc,0.02,2,v1,0.003482,0.011858,True,0.016
2zarc,0.02,2,v2,0.003487,0.011858,True,0.001
2zarc,0.02,3,v1,0.010859,0.011463,True,0.014
2zarc,0.02,3,v2,0.010863,0.011463,True,0.001
2zarc,0.02,4,v1,0.014378,0.011604,True,0.017
2zarc,0.02,4,v2,0.014366,0.011604,True,0.001
3zarc_r0,0.001,0,v1,0.000704,0.000579,True,0.05
3zarc_r0,0.001,0,v2,0.000704,0.000579,True,0.002
3zarc_r0,0.001,1,v1,0.000457,0.000534,True,0.045
3zarc_r0,0.001,1,v2,0.000457,0.000534,True,0.002
3zarc_r0,0.001,2,v1,0.001063,0.000586,True,0.049
3zarc_r0,0.001,2,v2,0.001061,0.000586,True,0.003
3zarc_r0,0.001,3,v1,0.000434,0.00049,True,0.045
3zarc_r0,0.001,3,v2,0.000435,0.00049,True,0.002
3zarc_r0,0.001,4,v1,0.001135,0.000563,True,0.054
3zarc_r0,0.001,4,v2,0.001137,0.000563,True,0.003
3zarc_r0,0.005,0,v1,0.004131,0.002573,True,0.049
3zarc_r0,0.005,0,v2,0.004134,0.002573,True,0.003
3zarc_r0,0.005,1,v1,0.00219,0.003042,True,0.045
3zarc_r0,0.005,1,v2,0.002191,0.003042,True,0.003
3zarc_r0,0.005,2,v1,0.00336,0.002593,True,0.049
3zarc_r0,0.005,2,v2,0.003364,0.002593,True,0.003
3zarc_r0,0.005,3,v1,0.002322,0.002704,True,0.054
3zarc_r0,0.005,3,v2,0.002323,0.002704,True,0.003
3zarc_r0,0.005,4,v1,0.006484,0.002583,True,0.053
3zarc_r0,0.005,4,v2,0.00649,0.002583,True,0.003
3zarc_r0,0.02,0,v1,0.017564,0.011847,True,0.041
3zarc_r0,0.02,0,v2,0.017597,0.011847,True,0.002
3zarc_r0,0.02,1,v1,0.004316,0.010561,True,0.043
3zarc_r0,0.02,1,v2,0.004302,0.010561,True,0.002
3zarc_r0,0.02,2,v1,0.022513,0.011376,True,0.049
3zarc_r0,0.02,2,v2,0.022529,0.011376,True,0.002
3zarc_r0,0.02,3,v1,0.008585,0.011739,True,0.049
3zarc_r0,0.02,3,v2,0.008591,0.011739,True,0.002
3zarc_r0,0.02,4,v1,0.010908,0.010718,True,0.05
3zarc_r0,0.02,4,v2,0.010908,0.010718,True,0.002
4zarc,0.001,0,v1,0.001543,0.000525,True,0.054
4zarc,0.001,0,v2,0.00154,0.000525,True,0.003
4zarc,0.001,1,v1,0.001181,0.000546,True,0.059
4zarc,0.001,1,v2,0.001182,0.000546,True,0.003
4zarc,0.001,2,v1,0.001092,0.000562,True,0.053
4zarc,0.001,2,v2,0.001094,0.000562,True,0.003
4zarc,0.001,3,v1,0.000333,0.0005,True,0.059
4zarc,0.001,3,v2,0.000333,0.0005,True,0.003
4zarc,0.001,4,v1,0.001557,0.000573,True,0.059
4zarc,0.001,4,v2,0.001558,0.000573,True,0.002
4zarc,0.005,0,v1,0.00437,0.0025,True,0.054
4zarc,0.005,0,v2,0.00437,0.0025,True,0.002
4zarc,0.005,1,v1,0.002531,0.002794,True,0.065
4zarc,0.005,1,v2,0.002525,0.002794,True,0.003
4zarc,0.005,2,v1,0.005356,0.002742,True,0.05
4zarc,0.005,2,v2,0.005344,0.002742,True,0.002
4zarc,0.005,3,v1,0.004989,0.00301,True,0.059
4zarc,0.005,3,v2,0.004989,0.00301,True,0.002
4zarc,0.005,4,v1,0.003379,0.002296,True,0.053
4zarc,0.005,4,v2,0.003378,0.002296,True,0.002
4zarc,0.02,0,v1,0.035856,0.010467,True,0.062
4zarc,0.02,0,v2,0.035878,0.010467,True,0.003
4zarc,0.02,1,v1,0.0174,0.01055,True,0.071
4zarc,0.02,1,v2,0.017425,0.01055,True,0.003
4zarc,0.02,2,v1,0.015881,0.011142,True,0.066
4zarc,0.02,2,v2,0.01577,0.011142,True,0.003
4zarc,0.02,3,v1,0.028422,0.010543,True,0.051
4zarc,0.02,3,v2,0.028363,0.010543,True,0.002
4zarc,0.02,4,v1,0.034649,0.009883,True,0.071
4zarc,0.02,4,v2,0.034595,0.009883,True,0.003
overlap_0.8d,0.001,0,v1,0.004579,0.000558,True,0.025
overlap_0.8d,0.001,0,v2,0.004579,0.000558,True,0.003
overlap_0.8d,0.001,1,v1,0.001175,0.000586,True,0.042
overlap_0.8d,0.001,1,v2,0.001175,0.000586,True,0.003
